num_qubits,fid,fid_base,esp,esp_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
20,nan,nan,0.9926247102437163,nan,2,nan,11,nan,nan,nan,8,7,192,nan,nan,nan
22,nan,nan,0.9926247102437163,nan,2,nan,11,nan,nan,nan,8,8,228,nan,nan,nan
24,nan,nan,0.9926247102437163,nan,2,nan,11,nan,nan,nan,8,8,228,nan,nan,nan
26,nan,nan,0.9926247102437163,nan,2,nan,11,nan,nan,nan,8,9,264,nan,nan,nan
28,nan,nan,0.989848218409039,nan,3,nan,12,nan,nan,nan,8,8,192,nan,nan,nan
30,nan,nan,0.989848218409039,nan,3,nan,12,nan,nan,nan,8,8,228,nan,nan,nan
40,nan,nan,0.9870794927591325,nan,4,nan,13,nan,nan,nan,8,8,228,nan,nan,nan
50,nan,nan,0.9843185115710353,nan,5,nan,14,nan,nan,nan,8,9,264,nan,nan,nan
60,nan,nan,0.9815652531825472,nan,6,nan,15,nan,nan,nan,8,9,264,nan,nan,nan
70,nan,nan,0.9788196959920604,nan,7,nan,16,nan,nan,nan,8,9,264,nan,nan,nan
80,nan,nan,0.976081818458389,nan,8,nan,17,nan,nan,nan,8,9,264,nan,nan,nan
90,nan,nan,0.9733515991006005,nan,9,nan,18,nan,nan,nan,8,9,264,nan,nan,nan
100,nan,nan,0.967914049289197,nan,11,nan,20,nan,nan,nan,8,9,264,nan,nan,nan
150,nan,nan,0.9544527006980118,nan,16,nan,25,nan,nan,nan,8,9,264,nan,nan,nan
200,nan,nan,0.9385459762543051,nan,22,nan,31,nan,nan,nan,8,9,264,nan,nan,nan
250,nan,nan,0.9254930666860525,nan,27,nan,36,nan,nan,nan,8,9,264,nan,nan,nan
300,nan,nan,0.9100689779118578,nan,33,nan,42,nan,nan,nan,8,9,264,nan,nan,nan
350,nan,nan,0.8974121146679661,nan,38,nan,47,nan,nan,nan,8,9,264,nan,nan,nan
400,nan,nan,0.8824560176188118,nan,44,nan,53,nan,nan,nan,8,9,264,nan,nan,nan
450,nan,nan,0.870183184015167,nan,49,nan,58,nan,nan,nan,8,9,264,nan,nan,nan
500,nan,nan,0.8556808790674707,nan,55,nan,64,nan,nan,nan,8,9,264,nan,nan,nan
600,nan,nan,0.8297181413951868,nan,66,nan,75,nan,nan,nan,8,9,264,nan,nan,nan
650,nan,nan,0.8158902190356343,nan,72,nan,81,nan,nan,nan,8,9,264,nan,nan,nan
700,nan,nan,0.8045431550492795,nan,77,nan,86,nan,nan,nan,8,9,264,nan,nan,nan
750,nan,nan,0.7911347941518981,nan,83,nan,92,nan,nan,nan,8,9,264,nan,nan,nan
800,nan,nan,0.7801320183842406,nan,88,nan,97,nan,nan,nan,8,9,264,nan,nan,nan
850,nan,nan,0.767130488777718,nan,94,nan,103,nan,nan,nan,8,9,264,nan,nan,nan
900,nan,nan,0.7564615549690327,nan,99,nan,108,nan,nan,nan,8,9,264,nan,nan,nan
950,nan,nan,0.7438545127359818,nan,105,nan,114,nan,nan,nan,8,9,264,nan,nan,nan
1000,nan,nan,0.7314575770348765,nan,111,nan,120,nan,nan,nan,8,9,264,nan,nan,nan
